phi,T (K),H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO
1.8,1694.422433,0.139854232,5.23E-05,7.92E-10,3.54E-10,2.64E-06,0.138746536,2.06E-13,1.48E-12,6.89E-19,5.35E-18,3.46E-15,1.13E-16,9.02E-12,1.19E-09,0.10779014,0.031525021,4.62E-09,6.44E-09,2.52E-14,2.43E-16,3.48E-13,5.80E-20,2.86E-14,4.55E-19,2.04E-16,4.71E-21,6.75E-20,1.80E-16,6.85E-14,7.16E-18,3.81E-12,3.15E-11,1.39E-09,1.50E-06,5.77E-11,1.01E-07,1.32E-14,5.09E-12,8.83E-12,2.34E-13,7.41E-08,1.94E-14,1.52E-20,5.13E-17,1.42E-11,2.73E-08,2.40E-12,0.58202741,0,6.83E-31,9.51E-30,5.63E-19,1.83E-17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.9,1628.672239,0.158333123,2.92E-05,1.53E-10,5.68E-11,1.01E-06,0.129088142,3.44E-14,4.05E-13,1.66E-19,1.96E-18,2.47E-15,7.23E-17,1.40E-11,3.73E-09,0.113960532,0.029759106,3.38E-09,7.81E-09,2.48E-14,2.20E-16,6.34E-13,4.40E-20,6.12E-14,8.63E-19,8.46E-16,1.73E-20,4.75E-19,1.68E-16,1.30E-13,9.37E-18,9.55E-13,1.19E-11,9.10E-10,2.09E-06,2.95E-11,3.07E-08,1.89E-15,1.55E-12,2.76E-12,1.26E-13,1.02E-07,2.07E-14,7.92E-21,2.50E-17,1.19E-11,3.07E-08,1.23E-12,0.568826655,0,5.71E-30,1.53E-28,9.41E-19,5.68E-17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1564.893638,0.176290795,1.56E-05,2.78E-11,8.70E-12,3.73E-07,0.119553311,5.42E-15,1.06E-13,3.63E-20,6.56E-19,1.64E-15,4.29E-17,2.06E-11,1.15E-08,0.119553349,0.028374722,2.38E-09,9.24E-09,2.33E-14,1.90E-16,1.13E-12,3.05E-20,1.25E-13,1.53E-18,3.37E-15,6.01E-20,3.24E-18,1.48E-16,2.41E-13,1.16E-17,2.24E-13,4.25E-12,5.71E-10,2.87E-06,1.44E-11,9.01E-09,2.58E-16,4.59E-13,8.26E-13,6.37E-14,1.38E-07,2.09E-14,3.83E-21,1.16E-17,9.69E-12,3.41E-08,6.04E-13,0.556208752,0,4.47E-29,2.36E-27,1.50E-18,1.71E-16
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.1,1502.977729,0.193703568,8.03E-06,4.73E-12,1.25E-12,1.32E-07,0.110193716,7.97E-16,2.63E-14,7.11E-21,2.00E-19,1.02E-15,2.37E-17,2.95E-11,3.51E-08,0.124665149,0.027288294,1.62E-09,1.07E-08,2.10E-14,1.57E-16,1.97E-12,1.95E-20,2.46E-13,2.58E-18,1.32E-14,2.02E-19,2.19E-17,1.24E-16,4.35E-13,1.39E-17,4.86E-14,1.42E-12,3.43E-10,3.91E-06,6.76E-12,2.53E-09,3.30E-17,1.30E-13,2.35E-13,3.03E-14,1.81E-07,2.02E-14,1.73E-21,5.05E-18,7.68E-12,3.75E-08,2.84E-13,0.544136933,0,3.37E-28,3.60E-26,2.29E-18,5.08E-16
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.2,1442.825724,0.210565552,3.96E-06,7.41E-13,1.68E-13,4.43E-08,0.101040067,1.08E-16,6.14E-15,1.25E-21,5.53E-20,5.91E-16,1.22E-17,4.10E-11,1.08E-07,0.129368088,0.026439469,1.06E-09,1.23E-08,1.84E-14,1.24E-16,3.42E-12,1.16E-20,4.74E-13,4.18E-18,5.17E-14,6.68E-19,1.50E-16,9.97E-17,7.77E-13,1.61E-17,9.75E-15,4.47E-13,1.98E-10,5.28E-06,3.02E-12,6.76E-10,3.90E-18,3.50E-14,6.28E-14,1.35E-14,2.36E-07,1.89E-14,7.24E-22,2.08E-18,5.93E-12,4.09E-08,1.28E-13,0.532577141,0,2.52E-27,5.60E-25,3.40E-18,1.51E-15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
